semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-04-21,Films (Non-English),5,Amar Singh Chamkila,7000000,2,False,Drama,2024,abril
2024-04-21,Films (Non-English),6,Death Whisperer,5700000,2,False,Horror,2024,abril
2024-04-21,Films (Non-English),7,The Wages of Fear,4600000,4,False,"Adventure, Drama, Thriller",2024,abril
2024-04-21,Films (Non-English),8,Article 370,5600000,1,False,"Action, Drama, Thriller",2024,abril
2024-04-21,Films (Non-English),9,No Pressure,2000000,4,False,"Short, Comedy, Horror",2024,abril
2024-04-21,Films (Non-English),10,Disappear Completely,1600000,1,False,"Drama, Romance",2024,abril
2024-04-21,TV (English),1,Baby Reindeer,52800000,2,False,"Biography, Drama",2024,abril
2024-04-21,TV (English),2,Unlocked: A Jail Experiment,27800000,2,False,"Documentary, Reality-TV",2024,abril
2024-04-21,TV (English),3,3 Body Problem,24000000,5,False,"Adventure, Drama, Fantasy",2024,abril
2024-04-21,TV (English),4,Our Living World,10700000,1,False,Documentary,2024,abril
2024-04-21,TV (English),5,Heartbreak High,20000000,2,False,"Drama, Romance",2024,abril
2024-04-21,TV (English),6,The Gentlemen,19100000,7,False,"Action, Crime",2024,abril
2024-04-21,TV (English),7,Bad Dinosaurs,6600000,4,False,"Animation, Short, Adventure",2024,abril
2024-04-21,TV (English),8,Jimmy Carr: Natural Born Killer,2300000,1,False,Comedy,2024,abril
2024-04-21,TV (English),9,The Circle,6600000,1,False,"Drama, Mystery, Sci-Fi",2024,abril
2024-04-21,TV (English),10,CoComelon Lane,5800000,6,False,"Animation, Short, Comedy",2024,abril
2024-04-21,TV (Non-English),1,Anthracite,25400000,2,False,Drama,2024,abril
2024-04-21,TV (Non-English),2,Midsummer Night,12700000,2,False,Drama,2024,abril
2024-04-21,TV (Non-English),3,Queen of Tears,75300000,7,True,"Drama, Family, Romance",2024,abril
2024-04-21,TV (Non-English),4,Parasyte: The Grey,19500000,3,False,"Action, Horror, Sci-Fi",2024,abril
2024-04-21,TV (Non-English),5,The Hijacking of Flight 601,16700000,2,False,"Drama, History, Thriller",2024,abril
2024-04-21,TV (Non-English),6,Crooks,19700000,3,False,Comedy,2024,abril
2024-04-21,TV (Non-English),7,As the Crow Flies,11900000,2,False,Drama,2024,abril
2024-04-21,TV (Non-English),8,The Great Indian Kapil Show,3900000,4,False,"Comedy, Talk-Show",2024,abril
2024-04-21,TV (Non-English),9,The Grimm Variations,4600000,1,False,"Animation, Drama, Fantasy",2024,abril
2024-04-21,TV (Non-English),10,Don't Hate the Player,3000000,1,False,"Short, Romance",2024,abril
